author,collection_name,place of birth,coordinates_place_of_birth,lat_place_of_birth,long_place_of_birth,country_of_birth,place of death,coordinate_place_of_death,lat_place_of_death,long_place_of_death,country_of_death,country of citizenship 1,country of citizenship 2,country of citizenship 3,sex or gender,spouse,collection_organizer
José Emilio Pacheco,José Emilio Pacheco Papers,Mexico City,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,Mexico,Mexico City,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,Mexico,Mexico,,,male,Cristina Pacheco,
Yolanda Pantin,Yolanda Pantin Papers - In process,Caracas,"10.5,-66.933333333333",10.5,-66.933333333333,Venezuela,,,,,,Venezuela,,,female,,
Octavio Paz,"Jean Clarence Lambert Collection of Octavio Paz, 1951-1992",Mexico City,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,Mexico,Mexico City,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,Mexico,Mexico; Spain,Spain,,male,Elena Garro;Marie José Tramini,Jean Clarence Lambert 
Néstor Perlongher,Néstor Perlongher Collection,Avellaneda,"-34.6625,-58.367777777777775",-34.6625,-58.367777777777775,Argentina,São Paulo,"-23.550394444444,-46.633947222222",-23.550394444444,-46.633947222222,Brazil,Argentina; Brazil,Brazil,,male,,
Virgilio Piñera,Virgilio Piñera Collection,Cárdenas,"23.042777777778,-81.203611111111",23.042777777778,-81.203611111111,Cuba,Havana,"23.136666666667,-82.358888888889",23.136666666667,-82.358888888889,Cuba,Cuba,,,male,,
Ricardo Piglia,Ricardo Piglia Papers,Adrogué,"-34.8,-58.383333333333",-34.8,-58.383333333333,Argentina,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Argentina,,,male,,
Sergio Pitol,Sergio Pitol Papers,Puebla City,"19.051388888889,-98.217777777778",19.051388888889,-98.217777777778,Mexico,Xalapa,"19.53124,-96.91589",19.53124,-96.91589,Mexico,Mexico,,,male,,
Alejandra Pizarnik,Alejandra Pizarnik Papers,Avellaneda,"-34.6625,-58.367777777777775",-34.6625,-58.367777777777775,Argentina,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Argentina,,,female,,
Sergio Ramírez,Sergio Ramírez Papers,Masatepe,"11.914475,-86.14455833333334",11.914475,-86.14455833333334,Nicaragua,,,,,,Nicaragua,,,male,,
Reina María Rodríguez,Reina María Rodríguez Papers,Havana,"23.136666666667,-82.358888888889",23.136666666667,-82.358888888889,Cuba,,,,,,Cuba,,,female,,
Emir Rodríguez Monegal,Emir Rodríguez Monegal Papers,Melo,"-32.366666666667,-54.183333333333",-32.366666666667,-54.183333333333,Uruguay,New Haven,"41.308333333333,-72.925",41.308333333333,-72.925,United States of America,Uruguay,,,male,,
Juan José Saer,Juan José Saer Manuscripts,Serodino,"-32.6,-60.95",-32.6,-60.95,Argentina,Paris,"48.85666666666667,2.352222222222222",48.85666666666667,2.352222222222222,France,Argentina,,,male,,
Danubio Torres Fierro,Danubio Torres Fierro Papers,,,,,,,,,,,Uruguay,,,male,,
Mercedes Valdivieso,Mercedes Valdivieso Literary Correspondence,Santiago,"-33.4375,-70.65",-33.4375,-70.65,Chile,Santiago,"-33.4375,-70.65",-33.4375,-70.65,Chile,Chile,,,female,,
Mario Vargas Llosa,Mario Vargas Llosa Papers,Arequipa,"-16.398763888889,-71.536883333333",-16.398763888889,-71.536883333333,Peru,,,,,,Spain; Peru; Dominican Republic,Peru,Dominican Republic,male,Julia Urquidi Illanes;Patricia Llosa Urquidi,
Idea Vilariño,Idea Vilariño Papers,Montevideo,"-34.86666666666667,-56.166666666666664",-34.86666666666667,-56.166666666666664,Uruguay,Montevideo,"-34.86666666666667,-56.166666666666664",-34.86666666666667,-56.166666666666664,Uruguay,Uruguay,,,female,,
Oscar Hermes Villordo,Oscar Hermes Villordo Papers,Machagai,"-26.916666666667,-60.033333333333",-26.916666666667,-60.033333333333,Argentina,Buenos Aires,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Argentina,Argentina,,,male,,
Mauricio Wacquez,Mauricio Wacquez Papers,Cunaco,"-34.6512,-71.2839",-34.6512,-71.2839,Chile,Alcañiz,"41.050254,-0.1329565",41.050254,-0.1329565,Spain,Chile,,,male,,
Álvaro Yunque,Alvaro Yunque Correspondence,La Plata,"-34.933333333333,-57.95",-34.933333333333,-57.95,Argentina,Tandil,"-37.316666666667,-59.133333333333",-37.316666666667,-59.133333333333,Argentina,Argentina,,,male,,
Saúl Yurkievich,Saúl Yurkievich Papers,La Plata,"-34.933333333333,-57.95",-34.933333333333,-57.95,Argentina,Caumont-sur-Durance,"43.894722222222,4.9463888888889",43.894722222222,4.9463888888889,France,Argentina,,,male,,
